,0
0,1
1,0
2,0
3,1
4,1
5,1
6,0
7,0
8,1
9,0
10,1
11,1
12,1
13,1
14,0
15,0
16,0
17,0
18,0
19,0
20,1
21,0
22,1
23,1
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,1
34,1
35,1
36,0
37,0
38,1
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,1
48,1
49,0
50,0
51,1
52,1
53,0
54,0
55,0
56,0
57,1
58,1
59,1
60,1
61,1
62,1
63,0
64,0
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,0
76,1
77,0
78,1
79,1
80,1
81,0
82,1
83,1
84,1
85,0
86,0
87,1
88,1
89,0
90,0
91,0
92,1
93,1
94,0
95,0
96,0
97,0
98,0
99,1
100,1
101,0
102,1
103,0
104,1
105,0
106,1
107,0
108,1
109,0
110,1
111,0
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,0
122,0
123,0
124,0
125,1
126,1
127,0
128,1
129,1
130,1
131,1
132,1
133,0
134,0
135,0
136,0
137,0
138,0
139,1
140,0
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,0
149,1
150,1
151,1
152,1
153,1
154,1
155,0
156,1
157,1
158,1
159,0
160,0
161,0
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,0
174,0
175,0
176,0
177,0
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,0
196,1
197,1
198,1
199,1
200,1
201,0
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,0
217,0
218,0
219,0
220,1
221,1
222,1
223,0
224,1
225,1
226,0
227,1
228,0
229,1
230,0
231,0
232,1
233,0
234,1
235,1
236,1
237,1
238,1
239,0
240,0
241,1
242,0
243,0
244,0
245,1
246,1
247,0
248,1
249,1
250,1
251,1
252,1
253,0
254,1
255,1
256,0
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,0
265,1
266,1
267,1
268,1
269,0
270,0
271,1
272,1
273,1
274,1
275,1
276,1
277,0
278,0
279,1
280,1
281,1
282,0
283,0
284,0
285,1
286,0
287,0
288,0
289,0
290,1
291,1
292,1
293,0
294,1
295,1
296,0
297,1
298,1
299,0
